Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Compressor[0]/Enabled,network_table:///LiveWindow/Ungrouped/Compressor[0]/Pressure switch,"network_table:///LiveWindow/Ungrouped/DoubleSolenoid[0,2]/Value",network_table:///LiveWindow/Ungrouped/Encoder[0]/Distance,network_table:///LiveWindow/Ungrouped/Encoder[0]/Distance per Tick,network_table:///LiveWindow/Ungrouped/Encoder[0]/Speed,network_table:///LiveWindow/Ungrouped/Encoder[1]/Distance,network_table:///LiveWindow/Ungrouped/Encoder[1]/Distance per Tick,network_table:///LiveWindow/Ungrouped/Encoder[1]/Speed,network_table:///SmartDashboard/Accelerometer,network_table:///SmartDashboard/Direction,network_table:///SmartDashboard/Drive Mode,network_table:///SmartDashboard/Left EO Encoder Speed RPS,network_table:///SmartDashboard/Left Master Current,network_table:///SmartDashboard/Left NEO Drive speed FPS,network_table:///SmartDashboard/Left NEO Encoder Inches,network_table:///SmartDashboard/Left NEO Encoder Position Ticks,network_table:///SmartDashboard/Left NEO Encoder Speed Inches,network_table:///SmartDashboard/Left Rio Drive speed FPS,network_table:///SmartDashboard/Left Rio Encoder Inches,network_table:///SmartDashboard/Left Rio Encoder Position Ticks,network_table:///SmartDashboard/Left Rio Encoder Speed Inches,network_table:///SmartDashboard/Left Slave 1 Current,network_table:///SmartDashboard/Left Slave 2 Current,network_table:///SmartDashboard/Left Voltage,network_table:///SmartDashboard/Mode,network_table:///SmartDashboard/Neutral Mode,network_table:///SmartDashboard/Right Master Current,network_table:///SmartDashboard/Right NEO Drive speed FPS,network_table:///SmartDashboard/Right NEO Encoder Inches,network_table:///SmartDashboard/Right NEO Encoder Position Ticks,network_table:///SmartDashboard/Right NEO Encoder Speed Inches,network_table:///SmartDashboard/Right NEO Encoder Speed RPS,network_table:///SmartDashboard/Right Rio Drive speed FPS,network_table:///SmartDashboard/Right Rio Encoder Inches,network_table:///SmartDashboard/Right Rio Encoder Position Ticks,network_table:///SmartDashboard/Right Rio Encoder Speed Inches,network_table:///SmartDashboard/Right Rio Encoder Speed RPS,network_table:///SmartDashboard/Right Slave 1 Current,network_table:///SmartDashboard/Right Slave 2 Current,network_table:///SmartDashboard/Right Voltage,network_table:///SmartDashboard/high Gear,network_table:///SmartDashboard/jetson/Angle To Target,network_table:///SmartDashboard/jetson/Distance,network_table:///SmartDashboard/jetson/Left hasLeft,network_table:///SmartDashboard/jetson/Left hasRight,network_table:///SmartDashboard/jetson/Left targetX,network_table:///SmartDashboard/jetson/Left targetY,network_table:///SmartDashboard/jetson/Left targetsFound,network_table:///SmartDashboard/jetson/Offset,network_table:///SmartDashboard/jetson/Right hasLeft,network_table:///SmartDashboard/jetson/Right hasRight,network_table:///SmartDashboard/jetson/Right targetX,network_table:///SmartDashboard/jetson/Right targetY,network_table:///SmartDashboard/jetson/Right targetsFound,network_table:///SmartDashboard/jetson/increment
0,,,,,1108321.0,RRR,true,0.0,0.0,0.0,1.0,false,true,Forward,-906.25,1.0,0.0,1435.5,1.0,0.0,0.0,Backward,OPEN_LOOP,0.0,0.25,0.0,4.956309523809523,170.0,0.0,-0.0,4.95985401459854,906.0,-0.0,0.28125,0.25,0.05853950811792352,STEP_VOLTAGE,kBrake,0.125,0.0,8.250797619047619,-283.0,0.0,0.0,-0.0,7.855839416058394,1435.0,0.0,0.0,0.15625,0.125,-3.6240730002746666E-4,false,-1.0,-1.0,false,false,0.0,0.0,0.0,-1.0,false,false,0.0,0.0,0.0,1625.0
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0585778946806238,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1627.0
156,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629.0
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0585778946806238,,,,,,,,,,,,,,,,-3.626457258827479E-4,,,,,,,,,,,,,,,1631.0
357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,-3.626457258827479E-4,,,,,,,,,,,,,,,1634.0
461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0585778946806238,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1636.0
557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0585778946806238,,,,,,,,,,,,,,,,-3.626457258827479E-4,,,,,,,,,,,,,,,1638.0
657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0585778946806238,,,,,,,,,,,,,,,,-3.626457258827479E-4,,,,,,,,,,,,,,,1640.0
757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0585778946806238,,,,,,,,,,,,,,,,-3.626457258827479E-4,,,,,,,,,,,,,,,1643.0
857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0585778946806238,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1645.0
958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0585778946806238,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1648.0
1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0585778946806238,,,,,,,,,,,,,,,0.125,-3.6240730002746666E-4,,,,,,,,,,,,,,,1651.0
1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0585778946806238,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,
1258,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,1653.0
1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0585778946806238,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1656.0
1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1658.0
1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,0.15625,,-3.626457258827479E-4,,,,,,,,,,,,,,,1661.0
1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0585778946806238,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1663.0
1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.626457258827479E-4,,,,,,,,,,,,,,,1665.0
1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-3.626457258827479E-4,,,,,,,,,,,,,,,1667.0
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846273499252296,,,,,,,,,,,,,,,,-3.626457258827479E-4,,,,,,,,,,,,,,,1670.0
2060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-3.626457258827479E-4,,,,,,,,,,,,,,,1672.0
2159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05846273499252296,,,,,,,,,,,,,,,,-3.626457258827479E-4,,,,,,,,,,,,,,,1674.0
2260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-3.626457258827479E-4,,,,,,,,,,,,,,,1676.0
2359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.626457258827479E-4,,,,,,,,,,,,,,,1679.0
2460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,,-3.6216887417218544E-4,,,,,,,,,,,,,,,1681.0
2562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,0.125,-3.619304483169042E-4,,,,,,,,,,,,,,,1683.0
2660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,1685.0
2762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688.0
2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690.0
2960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,1692.0
3060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,1694.0
3160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697.0
3260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699.0
3360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,1701.0
3461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1703.0
3561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,1706.0
3661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-3.619304483169042E-4,,,,,,,,,,,,,,,1708.0
3761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1710.0
3861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1712.0
3961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,1715.0
4062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717.0
4161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1719.0
4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,1721.0
4362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,1724.0
4462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1726.0
4563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1728.0
4662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1730.0
4763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,1733.0
4862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,1735.0
4963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1737.0
5063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,1739.0
5163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1742.0
5265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1744.0
5364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,1746.0
5463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748.0
5564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1751.0
5663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1753.0
5764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1755.0
5863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1757.0
5964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1760.0
6065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,1762.0
6164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1764.0
6265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,-3.6240730002746666E-4,,,,,,,,,,,,,,,1766.0
6365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058501121555223246,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,1769.0
6465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853950811792352,,,,,,,,,,,,,,,,-3.6216887417218544E-4,,,,,,,,,,,,,,,1771.0
6565,,,,,,,,,,,,,,,0.0,,,-15.0,,-2575.6600128783,,,,,36.9375,,0.0,0.0,,,-0.0,-0.0,,0.6875,,0.045488076799829094,,,,,-0.0,0.0,0.2332381007989247,8.000000190734863,,-0.043795620437956206,-8.0,-3.0978115407110263,-565.8669081032141,,,2.9665252483443707,,,,,,,,,,,,,,,1773.0
6665,,,,,,,,,,,,,,,352.5,,3969.8292973402145,-397.25,,-4457.3211499888575,12.0,,,-4264.392324093817,16.5,-0.3498571576860216,-1.9533690476190475,-67.0,-6.647285892232259,-1.7316545058342907,-1.916058394160584,-350.0,-23.34521345306834,16.90625,17.28125,-2.745842329935606,,,18.71875,-0.3498571576860216,-1.9825238095238094,68.0,6.647285892232259,228.00000610351563,-1.7316545058342907,-2.1295620437956204,-389.0,-25.135227524079554,-4591.368227731865,17.6875,17.3125,2.7106892986846525,,,,,,,,,,,,,,,1775.0
6766,,,,,,,,,,,,,,,806.5,,4818.11611659841,-870.5,,-5366.246310705661,-13.0,,,-5540.16620498615,10.90625,-1.0301349354637992,-3.848428571428571,-132.0,-15.39371410776774,-2.178626454451021,-4.368613138686132,-798.0,-30.329377034595712,11.28125,11.96875,-2.792713038270211,,,13.0625,-1.0301349354637992,-3.4402619047619045,118.0,15.626952558898923,536.0000061035156,-2.178626454451021,-4.658759124087592,-851.0,-25.920703384207037,-4734.848484848485,13.15625,13.03125,2.7731835764641257,,,,,,,,,,,,,,,1778.0
6867,,,,,,,,,,,,,,,1204.0,,4720.320981826764,-1425.25,,-5500.5500550055,-8.0,,,-5732.301519059903,5.34375,-2.011678423139784,-7.172071428571428,-246.0,-24.140141077677406,0.3012343620205645,-6.547445255474453,-1196.0,-31.38121269558341,0.6875,1.5,-2.929419270912809,,,1.25,-2.011678423139784,-6.676440476190476,229.0,24.023525588989255,824.0000610351562,0.3012343620205645,-7.6751824817518255,-1402.0,-28.88131128854933,-5275.6528620416775,3.5,2.34375,2.8981721320230722,,,,,,,,,,,,,,,1780.0
6966,,,,,,,,,,,,,,,1749.0,,6825.938566552902,-1941.75,,-4734.848484848485,1.0,,,-6825.938566552902,8.125,-2.254634831661648,-9.50445238095238,-326.0,-27.055617979939775,-2.5156017621287226,-9.53102189781022,-1741.0,-37.368276824194716,7.15625,4.3125,-2.8923132934812465,,,8.53125,-2.254634831661648,-10.087547619047617,346.0,27.055620471191403,928.000048828125,-2.5156017621287226,-10.527372262773723,-1923.0,-30.287427688766396,-5532.5034578146615,8.6875,8.34375,2.880595616397595,,,,,,,,,,,,,,,1782.0
7067,,,,,,,,,,,,,,,2286.0,,5554.012774229381,-2474.25,,-6863.417982155113,-11.0,,,-5537.098560354374,7.0625,-2.400408759816487,-12.944714285714285,-444.0,-29.038143568929033,-2.1402973472298563,-12.476277372262775,-2279.0,-30.31258335960424,3.4375,3.75,-2.894266239661855,,,7.96875,-2.400408759816487,-11.778523809523808,404.0,28.45504370422363,975.9998657226563,-2.1402973472298563,-13.439781021897812,-2455.0,-30.79860790292279,-5625.879043600563,8.71875,8.25,2.911842755287332,,,,,,,,,,,,,,,1784.0
7166,,,,,,,,,,,,,,,2676.0,,4548.555833522857,-3010.25,,-5112.474437627812,1.0,,,-4911.591355599215,6.5625,-2.4101269248114687,-15.277095238095237,-524.0,-28.804902626546223,-2.7146943145614038,-14.616788321167883,-2670.0,-26.88827384452125,4.625,2.28125,-2.905983916745506,,,5.90625,-2.4101269248114687,-15.160476190476189,520.0,28.221805253092445,967.999853515625,-2.7146943145614038,-16.36313868613139,-2989.0,-29.275147351575008,-5347.593582887701,8.875,7.15625,2.907936862926115,,,,,,,,,,,,,,,1787.0
7267,,,,,,,,,,,,,,,3070.0,,5544.774050457444,-3547.25,,-5129.520389843549,4.0,,,-5094.243504839531,8.15625,-2.4101267172071665,-18.746511904761903,-643.0,-28.921518115234374,-2.5176842139185642,-16.779197080291972,-3065.0,-27.88819436955948,8.375,5.8125,-2.9001250782036805,,,7.25,-2.4101267172071665,-18.54242857142857,636.0,28.338420741780595,971.9997314453125,-2.5176842139185642,-19.324817518248175,-3530.0,-31.48951713974418,-5752.085130859937,8.625,7.3125,2.902078024384289,,,,,,,,,,,,,,,1789.0
7367,,,,,,,,,,,,,,,3447.5,,5309.264666843642,-4069.5,,-5173.3057423693745,1.0,,,-5377.789728421619,7.78125,-2.4101265096028643,-21.049738095238094,-722.0,,-2.9356781181598706,-18.837591240875913,-3441.0,-29.4404547176366,7.0625,4.6875,-2.894266239661855,,,7.5625,-2.4101265096028643,-20.23340476190476,694.0,28.338420741780595,971.9997314453125,-2.9356781181598706,-22.187956204379564,-4053.0,-32.01434242540659,-5847.95321637427,8.875,6.28125,2.886454454939421,,,,,,,,,,,,,,,1791.0
7467,,,,,,,,,,,,,,,3996.75,,5298.013245033113,-4610.5,,-5439.216752787599,7.0,,,-4690.431519699813,6.53125,-2.4004081370035806,-24.51915476190476,-841.0,-28.804897644042967,-2.6577592750483183,-21.837591240875913,-3989.0,-25.677544815874892,7.75,2.625,-2.9040309705648975,,,6.0,-2.4004081370035806,-23.644511904761902,811.0,28.338420741780595,971.9997314453125,-2.6577592750483183,-25.12773722627737,-4590.0,-27.94513810487252,-5104.645227156713,8.90625,5.3125,2.8923132934812465,,,,,,,,,,,,,,,1793.0
7566,,,,,,,,,,,,,,,4549.25,,4528.985507246377,-5157.25,,-5257.6235541535225,-3.0,,,-4537.205081669692,8.4375,,-26.82238095238095,-920.0,,-2.6294200551126443,-24.87043795620438,-4543.0,-24.83871395074649,8.09375,5.90625,-2.888407401120029,,,6.84375,,-27.055619047619047,928.0,28.338420741780595,971.9997314453125,-2.6294200551126443,-28.105839416058394,-5134.0,-30.815944580605272,-5629.045876723896,6.84375,7.5625,2.8962191858424635,,,,,,,,,,,,,,,1796.0
7667,,,,,,,,,,,,,,,4937.0,,5361.930294906167,-5683.25,,-4753.981459472308,-2.0,,,-4743.833017077799,6.65625,-2.4101265096028643,-30.291797619047617,-1039.0,-28.921518115234374,-2.164157398301916,-26.989051094890513,-4930.0,-25.969888779622988,5.78125,3.0625,-2.905983916745506,,,6.21875,-2.4101265096028643,-28.746595238095235,986.0,28.221800270589192,967.9996826171875,-2.164157398301916,-31.007299270072995,-5664.0,-29.866080495060153,-5455.537370430988,3.59375,4.28125,2.911842755287332,,,,,,,,,,,,,,,1798.0
7767,,,,,,,,,,,,,,,5317.5,,5947.071067499257,-6211.0,,-4975.124378109454,-4.0,,,-6273.525721455458,6.5625,,-32.59502380952381,-1118.0,,-2.86200990942311,-29.06934306569343,-5310.0,-34.344118913077324,7.96875,2.09375,-2.894266239661855,,,6.6875,,-32.15770238095238,1103.0,28.338420741780595,971.9997314453125,-2.86200990942311,-33.886861313868614,-6190.0,-28.549948134260895,-5215.123859191656,7.15625,5.4375,2.894266239661855,,,,,,,,,,,,,,,1800.0
7867,,,,,,,,,,,,,,,5874.75,,5317.734645041212,-6757.0,,-5483.959418700302,0.0,,,-5180.00518000518,7.96875,-2.4101269248114687,-36.06444047619047,-1237.0,-28.921523097737627,-2.363141049272436,-32.12408759124088,-5868.0,-28.357692591269235,7.90625,4.5625,-2.8923132934812465,,,8.28125,-2.4101269248114687,-35.56880952380952,1220.0,28.338420741780595,971.9997314453125,-2.363141049272436,-36.88138686131387,-6737.0,-32.50862562199838,-5938.242280285036,5.875,8.03125,2.8825485625782035,,,,,,,,,,,,,,,1802.0
7967,,,,,,,,,,,,,,,6413.75,,5535.566011624689,-7292.5,,-5585.032113934655,3.0,,,-5277.0448548812665,7.96875,,-38.39682142857143,-1317.0,,-2.407410973942184,-35.06934306569343,-6406.0,-28.888931687306204,4.46875,5.125,-2.9040309705648975,,,7.9375,,-37.25978571428571,1278.0,28.338420741780595,971.9997314453125,-2.407410973942184,-39.815693430656935,-7273.0,-25.129458594191078,-4590.3144365389035,5.125,7.40625,2.8981721320230722,,,,,,,,,,,,,,,1805.0
